SPCD,SPECIES_SYMBOL,COMMON_NAME,GENUS,SPECIES,VARIETY,SUBSPECIES,CORDS_TO_GREEN_TONS,MBF_TO_GREEN_TONS,DRYWT_TO_GREENWT_CONVERSION
8503,SAIN13,"etkeam, cheskeam",Samadera,indica,NA,NA,1.07,2.14,1.76
8504,SALA6,arroyo willow,Salix,lasiolepis,NA,NA,2.96,5.92,1.76
8505,SASA10,raintree,Samanea,saman,NA,NA,2.96,5.92,1.76
8506,SAMAN,raintree,Samanea,spp.,NA,NA,1.89,3.78,1.76
8509,SANIC4,common elderberry,Sambucus,nigra,NA,NA,2.96,5.92,1.76
8510,SAMBU,raintree,Sambucus,spp.,NA,NA,1.21,2.42,1.76
8511,QUGR2,Graves oak,Quercus,gravesii,NA,NA,3.48,6.96,1.76
8512,QUPO2,Mexican white oak,Quercus,polymorpha,NA,NA,3.48,6.96,1.76
8513,QUBU2,Buckley oak,Quercus,buckleyi,NA,NA,3.48,6.96,1.76
8514,QULA,Lacey oak,Quercus,laceyi,NA,NA,3.48,6.96,1.76
8515,SAKO4,"santol, kechapi",Sandoricum,koetjape,NA,NA,1.1,2.2,1.76
8516,SAEL2,coastal sandalwood,Santalum,ellipticum,NA,NA,2.13,4.26,1.76
8517,SAFR4,forest sandalwood,Santalum,freycinetianum,NA,NA,2.13,4.26,1.76
8518,SAAL16,sandalwood,Santalum,album,NA,NA,2.96,5.92,1.76
8521,SAHA3,Haleakala sandalwood,Santalum,haleakalae,NA,NA,2.13,4.26,1.76
8522,SAPA7,mountain sandalwood,Santalum,paniculatum,NA,NA,2.13,4.26,1.76
8525,SASA8,willowleaf sandalwood,Santalum,salicifolium,NA,NA,2.13,4.26,1.76
8526,SANTA,sandalwood,Santalum,spp.,NA,NA,2.13,4.26,1.76
8528,SAOA3,lonomea,Sapindus,oahuense,NA,NA,1.97,3.94,1.76
8529,SASA4,wingleaf soapberry,Sapindus,saponaria,NA,NA,2.96,5.92,1.76
8531,SAPIN,soapberry,Sapindus,spp.,NA,NA,1.97,3.94,1.76
8532,SAVI17,vitiensis,Sapindus,vitiensis,NA,NA,1.97,3.94,1.76
8533,SAGL5,gumtree,Sapium,glandulosum,NA,NA,2.96,5.92,1.76
8534,SAIN2,maskerekur,Sapium,indicum,NA,NA,1.12,2.24,1.76
8535,SALA25,hinchahuevos,Sapium,laurifolium,NA,NA,2.96,5.92,1.76
8536,SALA8,milktree,Sapium,laurocerasus,NA,NA,2.96,5.92,1.76
8544,SAPA35,uunu,Sarcopygme,pacifica,NA,NA,1.83,3.66,1.76
8546,SASE6,amansa guapo,Savia,sessiliflora,NA,NA,2.96,5.92,1.76
8548,SCCE3,"Scaevola, naupaka",Scaevola,cerasifolia,NA,NA,1.4,2.8,1.76
8549,SCCH3,naupaka kuahiwi,Scaevola,chamissoniana,NA,NA,1.4,2.8,1.76
8550,SCGA2,mountain naupaka,Scaevola,gaudichaudiana,NA,NA,1.4,2.8,1.76
8551,SCPR,forest naupaka,Scaevola,procera,NA,NA,1.4,2.8,1.76
8552,SCAEV,naupaka,Scaevola,spp.,NA,NA,1.4,2.8,1.76
8553,SCKR2,Schefflera kraemeri,Schefflera,kraemeri,NA,NA,1.17,2.34,1.76
8554,SCFR,Florida boxwood,Schaefferia,frutescens,NA,NA,2.96,5.92,1.76
8555,SCHAE,schaefferia,Schaefferia,spp.,NA,NA,1.97,3.94,1.76
8556,SADO7,guayabilla,Samyda,dodecandra,NA,NA,2.96,5.92,1.76
8557,SCGL6,yuquilla,Schefflera,gleasonii,NA,NA,2.96,5.92,1.76
8558,SCMO10,matchwood,Schefflera,morototonii,NA,NA,2.96,5.92,1.76
8559,SCSA10,samoensis,Schefflera,samoensis,NA,NA,1.16,2.32,1.76
8560,SCTA,Toitoi,Scaevola,taccada,NA,NA,1.4,2.8,1.76
8561,SCMO,Peruvian peppertree,Schinus,molle,NA,NA,2.96,5.92,1.76
8563,SCTE,Brazilian peppertree,Schinus,terebinthifolius,NA,NA,2.96,5.92,1.76
8565,SCPA23,Brazilian firetree,Schizolobium,parahybum,NA,NA,2.96,5.92,1.76
8567,SCOL3,lac tree,Schleichera,oleosa,NA,NA,2.96,5.92,1.76
8571,SCAR2,arana,Schoepfia,arenaria,NA,NA,2.96,5.92,1.76
8572,SCOB,white beefwood,Schoepfia,obovata,NA,NA,2.96,5.92,1.76
8573,SCSC3,gulf graytwig,Schoepfia,schreberi,NA,NA,2.96,5.92,1.76
8577,SCHY5,kuat,Scyphiphora,hydrophyllacea,NA,NA,1.94,3.88,1.76
8583,SEFL9,poumuli,Securinega,flexuosa,NA,NA,1.85,3.7,1.76
8585,SEKR3,poison tree,Semecarpus,kraemeri,NA,NA,2.96,5.92,1.76
8586,SEVE4,tonget,Semecarpus,venenosa,NA,NA,0.9,1.8,1.76
8588,SEAL4,emperor's candlesticks,Senna,alata,NA,NA,2.96,5.92,1.76
8589,SEAT3,flor de San Jose,Senna,atomaria,NA,NA,2.96,5.92,1.76
8590,SEGA2,Gaudichauds senna,Senna,gaudichaudii,NA,NA,1.6,3.2,1.76
8591,SEMU5,false sicklepod,Senna,multijuga,NA,NA,2.96,5.92,1.76
8592,SEPE4,valamuerto,Senna,pendula,NA,NA,1.6,3.2,1.76
8594,SEPO5,retama prieta,Senna,polyphylla,NA,NA,2.96,5.92,1.76
8595,SESE13,senna,Senna,septemtrionalis,NA,NA,1.6,3.2,1.76
8596,SESI3,Siamese cassia,Senna,siamea,NA,NA,2.96,5.92,1.76
8597,SESP9,casia amarilla,Senna,spectabilis,NA,NA,2.96,5.92,1.76
8598,SENNA,senna,Senna,spp.,NA,NA,1.6,3.2,1.76
8599,SESU10,Senna sulfurea,Senna,sulfurea,NA,NA,2.96,5.92,1.76
8600,SESU4,glossy shower,Senna,surattensis,NA,NA,2.96,5.92,1.76
8601,SEKA2,ukall,Serianthes,kanehirae,NA,NA,0.9,1.8,1.76
8603,SENE9,"hayun lago, trongkon guafi",Serianthes,nelsonii,NA,NA,0.9,1.8,1.76
8605,SEGR5,vegetable hummingbird,Sesbania,grandiflora,NA,NA,2.96,5.92,1.76
8606,SESE8,Egyptian riverhemp,Sesbania,sesban,NA,NA,1.21,2.42,1.76
8607,SESBA,riverhemp,Sesbania,spp.,NA,NA,1.21,2.42,1.76
8608,SHIN,Shirakiopsis indica,Shirakiopsis,indica,NA,NA,1.4,2.8,1.76
8609,SIFA,yellow llima,Sida,fallax,NA,NA,1.36,2.72,1.76
8610,SIDA,fanpetals,Sida,spp.,NA,NA,1.36,2.72,1.76
8611,SICU7,espejuelo,Sideroxylon,cubense,NA,NA,2.96,5.92,1.76
8613,SIOB,breakbill,Sideroxylon,obovatum,NA,NA,2.96,5.92,1.76
8614,SIPO3,Puerto Rico bully,Sideroxylon,portoricense,NA,NA,2.96,5.92,1.76
8617,SIMAR,simarouba,Simarouba,spp.,NA,NA,2.96,5.92,1.76
8619,SITU,aceitillo falso,Simarouba,tulae,NA,NA,2.96,5.92,1.76
8620,SIDE6,hoja menuda,Siphoneugena,densiflora,NA,NA,2.96,5.92,1.76
8622,SLOAN,bullwood,Sloanea,spp.,NA,NA,2.96,5.92,1.76
8623,SLAM,motillo,Sloanea,amygdalina,NA,NA,2.96,5.92,1.76
8624,SLBE,bullwood,Sloanea,berteriana,NA,NA,2.96,5.92,1.76
8626,SOBAB,Solanum bahamense,Solanum,bahamense,NA,NA,2.96,5.92,1.76
8627,SODO3,mullein nightshade,Solanum,donianum,NA,NA,2.96,5.92,1.76
8628,SOAM,American black nightshade,Solanum,americanum,NA,NA,0.98,1.96,1.76
8629,SOER2,potatotree,Solanum,erianthum,NA,NA,2.96,5.92,1.76
8631,SOMA3,earleaf nightshade,Solanum,mauritianum,NA,NA,0.98,1.96,1.76
8632,SONU4,forest nightshade,Solanum,nudum,NA,NA,2.96,5.92,1.76
8633,SOPO,cakalaka berry,Solanum,polygamum,NA,NA,2.96,5.92,1.76
8634,SORU,tabacon aspero,Solanum,rugosum,NA,NA,2.96,5.92,1.76
8635,SOLAN,nightshade,Solanum,spp.,NA,NA,0.98,1.96,1.76
